person,label
--NME--,--NME--
Phil Simmons,Q6827914
Leicestershire County Cricket Club,Q3229147
Somerset County Cricket Club,Q3489807
Somerset County Cricket Club,Q3489807
Grace Road,Q5591359
Leicestershire County Cricket Club,Q3229147
England cricket team,Q1321565
Andrew Caddick,Q4756511
Somerset County Cricket Club,Q3489807
--NME--,--NME--
Essex County Cricket Club,Q3058749
Nasser Hussain,Q3520174
Peter Such,Q6836032
Yorkshire County Cricket Club,Q3177444
Headingley Stadium,Q1187032
--NME--,--NME--
England cricket team,Q1321565
Essex County Cricket Club,Q3058749
Yorkshire County Cricket Club,Q3177444
--NME--,--NME--
The Oval,Q1155836
Surrey County Cricket Club,Q2725632
Chris Lewis (cricketer),Q5107238
England cricket team,Q1321565
Warwickshire County Cricket Club,Q2725705
England cricket team,Q1321565
Mark Butcher,Q6766945
Surrey County Cricket Club,Q2725632
Australia national cricket team,Q142555
Tom Moody,Q3537597
Chris Adams (cricketer),Q5105685
Tim O'Gorman,Q7804063
Derbyshire County Cricket Club,Q1788018
Paul Johnson (cricketer),Q7151607
--NME--,--NME--
Martin McCague,Q6584108
Chester-le-Street Rugby Club,Q5093418
Glamorgan County Cricket Club,Q3107254
--NME--,--NME--
--NME--,--NME--
--NME--,--NME--
Durham County Cricket Club,Q3041569
--NME--,--NME--
Tunbridge Wells (UK Parliament constituency),Q875225
Nottinghamshire County Cricket Club,Q3344790
--NME--,--NME--
--NME--,--NME--
Kent County Cricket Club,Q3195284
--NME--,--NME--
The Oval,Q1155836
Warwickshire County Cricket Club,Q2725705
Surrey County Cricket Club,Q2725632
--NME--,--NME--
--NME--,--NME--
--NME--,--NME--
--NME--,--NME--
--NME--,--NME--
"County Cricket Ground, Hove",Q5177658
Sussex Rugby Football Union,Q7649478
--NME--,--NME--
--NME--,--NME--
--NME--,--NME--
Lancashire County Rugby Football Union,Q16931927
--NME--,--NME--
Portsmouth,Q72259
Middlesex County Cricket Club,Q2725694
--NME--,--NME--
--NME--,--NME--
--NME--,--NME--
Hampshire County Cricket Club,Q3126578
--NME--,--NME--
Worcestershire County Cricket Club,Q2725667
Derbyshire County Cricket Club,Q1788018
--NME--,--NME--
--NME--,--NME--
--NME--,--NME--
--NME--,--NME--
Bristol County Ground,Q5177654
Gloucestershire County Cricket Club,Q2735265
--NME--,--NME--
Northamptonshire County Cricket Club,Q3344193
--NME--,--NME--
--NME--,--NME--
Alan Shearer,Q483583
England national football team,Q47762
Alan Shearer,Q483583
England national football team,Q47762
--NME--,--NME--
Tony Adams,Q299391
--NME--,--NME--
David Platt (footballer),Q312143
--NME--,--NME--
--NME--,--NME--
England national football team,Q47762
2018 FIFA World Cup,Q170645
Moldova national football team,Q191142
--NME--,--NME--
Glenn Hoddle,Q296666
Blackburn Rovers F.C.,Q19446
Southampton F.C.,Q18732
--NME--,--NME--
UEFA Euro 1996,Q180563
Teddy Sheringham,Q234576
Alan Shearer,Q483583
Newcastle United F.C.,Q18716
Les Ferdinand,Q311709
Romania,Q218
Cosmin Contra,Q296215
Mihai Tararache,Q519125
Lithuania,Q37
--NME--,--NME--
--NME--,--NME--
--NME--,--NME--
FC Rotor Volgograd,Q1059186
HC Lada Togliatti,Q1349
Panama,Q804
Roberto Durán,Q471571
--NME--,--NME--
Roberto Durán,Q471571
--NME--,--NME--
Mexicans,Q1209676
--NME--,--NME--
Panama City,Q3306
Roberto Durán,Q471571
--NME--,--NME--
Roberto Durán,Q471571
