wd_id,P17,CountryIsoCode,WikidataLabel,hdi,FormerColony,Continent
Q661405,Q754,TTO,Trinidad and Tobago,0.796,True,LatinAmericaAndCaribbean
Q7419386,Q754,TTO,Trinidad and Tobago,0.796,True,LatinAmericaAndCaribbean
Q39178,Q754,TTO,Trinidad and Tobago,0.796,True,LatinAmericaAndCaribbean
Q7401398,Q754,TTO,Trinidad and Tobago,0.796,True,LatinAmericaAndCaribbean
Q1352,Q668,IND,India,0.645,True,Asia
Q1348,Q668,IND,India,0.645,True,Asia
Q1156,Q668,IND,India,0.645,True,Asia
Q614890,Q668,IND,India,0.645,True,Asia
Q170115,Q668,IND,India,0.645,True,Asia
Q200311,Q668,IND,India,0.645,True,Asia
Q1007088,Q145,GBR,United Kingdom,0.932,,Europe
Q2213391,Q145,GBR,United Kingdom,0.932,,Europe
Q935686,Q145,GBR,United Kingdom,0.932,,Europe
Q1425428,Q145,GBR,United Kingdom,0.932,,Europe
Q1339305,Q145,GBR,United Kingdom,0.932,,Europe
Q4576305,Q145,GBR,United Kingdom,0.932,,Europe
Q83609,Q145,GBR,United Kingdom,0.932,,Europe
Q1017537,Q145,GBR,United Kingdom,0.932,,Europe
Q34217,Q145,GBR,United Kingdom,0.932,,Europe
Q19186,Q145,GBR,United Kingdom,0.932,,Europe
Q1231883,Q145,GBR,United Kingdom,0.932,,Europe
Q277162,Q145,GBR,United Kingdom,0.932,,Europe
Q39121,Q145,GBR,United Kingdom,0.932,,Europe
Q29303,Q145,GBR,United Kingdom,0.932,,Europe
Q24826,Q145,GBR,United Kingdom,0.932,,Europe
Q5043241,Q145,GBR,United Kingdom,0.932,,Europe
Q23436,Q145,GBR,United Kingdom,0.932,,Europe
Q146659,Q145,GBR,United Kingdom,0.932,,Europe
Q2153758,Q145,GBR,United Kingdom,0.932,,Europe
Q281749,Q145,GBR,United Kingdom,0.932,,Europe
Q182923,Q145,GBR,United Kingdom,0.932,,Europe
Q2720261,Q145,GBR,United Kingdom,0.932,,Europe
Q4898677,Q145,GBR,United Kingdom,0.932,,Europe
Q729006,Q145,GBR,United Kingdom,0.932,,Europe
Q578750,Q145,GBR,United Kingdom,0.932,,Europe
Q58900,Q145,GBR,United Kingdom,0.932,,Europe
Q145,Q145,GBR,United Kingdom,0.932,,Europe
Q23154,Q145,GBR,United Kingdom,0.932,,Europe
Q743521,Q145,GBR,United Kingdom,0.932,,Europe
Q2065416,Q145,GBR,United Kingdom,0.932,,Europe
Q810794,Q145,GBR,United Kingdom,0.932,,Europe
Q150120,Q145,GBR,United Kingdom,0.932,,Europe
Q4093,Q145,GBR,United Kingdom,0.932,,Europe
Q24826,Q145,GBR,United Kingdom,0.932,,Europe
Q200942,Q145,GBR,United Kingdom,0.932,,Europe
Q180057,Q145,GBR,United Kingdom,0.932,,Europe
Q4982607,Q145,GBR,United Kingdom,0.932,,Europe
Q6225,Q145,GBR,United Kingdom,0.932,,Europe
Q7996944,Q145,GBR,United Kingdom,0.932,,Europe
Q18125,Q145,GBR,United Kingdom,0.932,,Europe
Q211870,Q145,GBR,United Kingdom,0.932,,Europe
Q29245,Q145,GBR,United Kingdom,0.932,,Europe
Q947400,Q145,GBR,United Kingdom,0.932,,Europe
Q1792879,Q145,GBR,United Kingdom,0.932,,Europe
Q1009324,Q145,GBR,United Kingdom,0.932,,Europe
Q24826,Q145,GBR,United Kingdom,0.932,,Europe
Q5016879,Q145,GBR,United Kingdom,0.932,,Europe
Q1016925,Q145,GBR,United Kingdom,0.932,,Europe
Q6497774,Q145,GBR,United Kingdom,0.932,,Europe
Q23051,Q145,GBR,United Kingdom,0.932,,Europe
Q6225,Q145,GBR,United Kingdom,0.932,,Europe
Q1646181,Q145,GBR,United Kingdom,0.932,,Europe
Q202059,Q145,GBR,United Kingdom,0.932,,Europe
Q23159,Q145,GBR,United Kingdom,0.932,,Europe
