label,person,P21,gender,relation
Phil Simmons,Q6827914,Q6581097,male,equivalent-to
Phil Simmons,Q6827914,Q6581097,male,member
Phil Simmons,Q6827914,Q6581097,male,position-held
Nasser Hussain,Q3520174,Q6581097,male,member
Nasser Hussain,Q3520174,Q6581097,male,position-held
Peter Such,Q6836032,Q6581097,male,member
Peter Such,Q6836032,Q6581097,male,position-held
Mark Butcher,Q6766945,Q6581097,male,member
Mark Butcher,Q6766945,Q6581097,male,position-held
Tom Moody,Q3537597,Q6581097,male,member
Tom Moody,Q3537597,Q6581097,male,position-held
Martin McCague,Q6584108,Q6581097,male,opposite
Martin McCague,Q6584108,Q6581097,male,position-held
Alan Shearer,Q483583,Q6581097,male,position-held
Tony Adams,Q299391,Q6581097,male,position-held
Teddy Sheringham,Q234576,Q6581097,male,position-held
Les Ferdinand,Q311709,Q6581097,male,position-held
Cosmin Contra,Q296215,Q6581097,male,position-held
Mihai Tararache,Q519125,Q6581097,male,position-held
Jansher Khan,Q174595,Q6581097,male,position-held
Jansher Khan,Q174595,Q6581097,male,geographicalRelation
Jansher Khan,Q174595,Q6581097,male,participated
Dan Jenson,Q3610466,Q6581097,male,participated
Dan Jenson,Q3610466,Q6581097,male,geographicalRelation
Peter Nicol,Q719333,Q6581097,male,geographicalRelation
Peter Nicol,Q719333,Q6581097,male,participated
Rodney Eyles,Q336331,Q6581097,male,geographicalRelation
Rodney Eyles,Q336331,Q6581097,male,participated
Sandrine Testud,Q259026,Q6581072,female,geographicalRelation
Sandrine Testud,Q259026,Q6581072,female,participated
Scott Draper,Q942937,Q6581097,male,participated
Scott Draper,Q942937,Q6581097,male,geographicalRelation
Tim Henman,Q221737,Q6581097,male,geographicalRelation
Tim Henman,Q221737,Q6581097,male,participated
Doug Flach,Q463811,Q6581097,male,participated
Doug Flach,Q463811,Q6581097,male,geographicalRelation
Mark Philippoussis,Q310949,Q6581097,male,geographicalRelation
Mark Philippoussis,Q310949,Q6581097,male,participated
Andrei Olhovskiy,Q502583,Q6581097,male,participated
Andrei Olhovskiy,Q502583,Q6581097,male,geographicalRelation
Sjeng Schalken,Q469324,Q6581097,male,geographicalRelation
Sjeng Schalken,Q469324,Q6581097,male,participated
David Rikl,Q559917,Q6581097,male,participated
David Rikl,Q559917,Q6581097,male,geographicalRelation
Guy Forget,Q560175,Q6581097,male,geographicalRelation
Guy Forget,Q560175,Q6581097,male,participated
Lindsay Davenport,Q11677,Q6581072,female,geographicalRelation
Lindsay Davenport,Q11677,Q6581072,female,participated
Amanda Coetzer,Q233339,Q6581072,female,geographicalRelation
Amanda Coetzer,Q233339,Q6581072,female,participated
Roberto Carretero,Q1640440,Q6581097,male,participated
Roberto Carretero,Q1640440,Q6581097,male,geographicalRelation
Linda Wild,Q3241386,Q6581072,female,geographicalRelation
Linda Wild,Q3241386,Q6581072,female,participated
Barbara Rittner,Q62208,Q6581072,female,participated
Barbara Rittner,Q62208,Q6581072,female,geographicalRelation
Gabriela Sabatini,Q105868,Q6581072,female,participated
Gabriela Sabatini,Q105868,Q6581072,female,geographicalRelation
Pete Sampras,Q9446,Q6581097,male,geographicalRelation
Pete Sampras,Q9446,Q6581097,male,participated
Paul Haarhuis,Q29441,Q6581097,male,geographicalRelation
Paul Haarhuis,Q29441,Q6581097,male,participated
Michael Tebbutt,Q552674,Q6581097,male,participated
Michael Tebbutt,Q552674,Q6581097,male,geographicalRelation
Lisa Raymond,Q10129,Q6581072,female,geographicalRelation
Lisa Raymond,Q10129,Q6581072,female,participated
Kimberly Po,Q297948,Q6581072,female,participated
Kimberly Po,Q297948,Q6581072,female,geographicalRelation
Thomas Johansson,Q277802,Q6581097,male,participated
Thomas Johansson,Q277802,Q6581097,male,geographicalRelation
Petr Korda,Q312717,Q6581097,male,geographicalRelation
Petr Korda,Q312717,Q6581097,male,participated
Bohdan Ulihrach,Q718178,Q6581097,male,participated
Bohdan Ulihrach,Q718178,Q6581097,male,geographicalRelation
Monica Seles,Q173633,Q6581072,female,geographicalRelation
Monica Seles,Q173633,Q6581072,female,participated
Dally Randriantefy,Q264088,Q6581072,female,participated
Dally Randriantefy,Q264088,Q6581072,female,geographicalRelation
Todd Martin,Q54536,Q6581097,male,geographicalRelation
Todd Martin,Q54536,Q6581097,male,participated
Todd Martin,Q54536,Q6581097,male,participated
Todd Martin,Q54536,Q6581097,male,position-held
Andrea Gaudenzi,Q201593,Q6581097,male,participated
Andrea Gaudenzi,Q201593,Q6581097,male,geographicalRelation
