person,relation
Brion James,equivalent-to
Leon Kowalski,equivalent-to
Brion James,contributes
Leon Kowalski,contributes
Joanna Cassidy,equivalent-to
Zhora,equivalent-to
Joanna Cassidy,contributes
Zhora,contributes
Lee Sedol,participated
Lee Sedol,participated
Sakichi Toyoda,contributes
Mamie Van Doren,position-held
Pinky Lee,position-held
Philip K. Dick,contributes
Hampton Fancher,equivalent-to
Fancher,equivalent-to
Hampton Fancher,contributes
Michael Deeley,position-held
Ridley Scott,position-held
Ridley Scott,position-held
Manuel Toharia,geographicalRelation
Manuel Toharia,position-held
Manuel Toharia,position-held
Mick Foley,position-held
Rebecca Grant,position-held
Čapek,geographicalRelation
Paul J. McAuley,contributes
Lester del Rey,contributes
Fernando Lamas,position-held
Arlene Dahl,position-held
David Arquette,position-held
Elizabeth Berkley,position-held
Thomas Jane,position-held
Norman McLaren,position-held
Norman McLaren,position-held
Norman McLaren,position-held
The Wachowskis,contributes
J. Michael Straczynski,contributes
Dalton,position-held
Daniel Pearl,position-held
Daniel Pearl,geographicalRelation
Judea,contributes
Judea,position-held
John Waters,position-held
Walter R. Booth,position-held
Walter R. Booth,position-held
Cecil Hepworth,position-held
Chris Landreth,geographicalRelation
Chris Landreth,member
Chris Landreth,participated
Zack Snyder,usage
Zack Snyder,contributes
Clint Eastwood,usage
Clint Eastwood,contributes
Damien Chazelle,usage
Damien Chazelle,contributes
Patty Jenkins,usage
Patty Jenkins,contributes
Cary Joji Fukunaga,usage
Cary Joji Fukunaga,contributes
Joseph Kosinski,usage
Joseph Kosinski,contributes
Louis Daguerre,contributes
Henry Fox Talbot,contributes
David Avidan,equivalent-to
Donna D 'Errico,position-held
Carmen Electra,position-held
Traci Bingham,position-held
Heidi Mark,position-held
Randy,relationship
Jason Sklar,relationship
John Ireland,position-held
Joanne Dru,position-held
Macdonald Carey,position-held
Jack Broder,contributes
Kenny Florian,position-held
Edsinger,position-held
Weber,position-held
Sean Young,position-held
Sean Young,equivalent-to
Rachael,equivalent-to
Sean Young,contributes
Rachael,contributes
Rachael,member
Tyrell,member
Rachael,position-held
Nina Axelrod,position-held
Adam Savage,member
Adam Savage,position-held
Vernon Davis,position-held
Michael Stevens,position-held
Michael Stevens,equivalent-to
Vsauce,equivalent-to
Dug North,geographicalRelation
Chomick + Meder,geographicalRelation
Arthur Ganson,geographicalRelation
Joe Jones,geographicalRelation
Jacques Monestier,contributes
Jacques Monestier,equivalent-to
François Junod,geographicalRelation
Devol,position-held
Sam Katzman,position-held
William Castle,position-held
Cole Porter,position-held
Howard Keel,position-held
Kathryn Grayson,position-held
Ann Miller,position-held
Keenan Wynn,position-held
Bobby Van,position-held
James Whitmore,position-held
Kurt Kasznar,position-held
Tommy Rall,position-held
John B. Mason,position-held
Jim the Penman,position-held
Jim the Penman,contributes
Francis Ford Coppola,position-held
Michael Jackson,position-held
John Wayne,position-held
Rita Hayworth,position-held
Dean Martin,position-held
Jerry Lewis,position-held
Oldman,participated
Joseph Conrad,contributes
Charles Villiers Stanford,contributes
Timothy Leary,position-held
Richard Alpert,position-held
Noah Webster Sr.,relationship
Noah Webster Sr.,relationship
Mercy ( Steele ) Webster,relationship
Mercy ( Steele ) Webster,relationship
William Bradford,relationship
William Bradford,geographicalRelation
Noah,relationship
Abraham,relationship
Noah,relationship
Charles,relationship
Garp,member
Sue Bridehead,member
Edward Ashburnham,member
Sakharov,position-held
