wd_id,P21,gender
Q6827914,Q6581097,male
Q3520174,Q6581097,male
Q6836032,Q6581097,male
Q6766945,Q6581097,male
Q3537597,Q6581097,male
Q6584108,Q6581097,male
Q483583,Q6581097,male
Q299391,Q6581097,male
Q234576,Q6581097,male
Q311709,Q6581097,male
Q296215,Q6581097,male
Q519125,Q6581097,male
Q174595,Q6581097,male
Q3610466,Q6581097,male
Q719333,Q6581097,male
Q336331,Q6581097,male
Q259026,Q6581072,female
Q942937,Q6581097,male
Q221737,Q6581097,male
Q463811,Q6581097,male
Q310949,Q6581097,male
Q502583,Q6581097,male
Q469324,Q6581097,male
Q559917,Q6581097,male
Q560175,Q6581097,male
Q11677,Q6581072,female
Q233339,Q6581072,female
Q1640440,Q6581097,male
Q3241386,Q6581072,female
Q62208,Q6581072,female
Q105868,Q6581072,female
Q9446,Q6581097,male
Q29441,Q6581097,male
Q552674,Q6581097,male
Q10129,Q6581072,female
Q297948,Q6581072,female
Q277802,Q6581097,male
Q312717,Q6581097,male
Q718178,Q6581097,male
Q173633,Q6581072,female
Q264088,Q6581072,female
Q54536,Q6581097,male
Q201593,Q6581097,male
Q189542,Q6581097,male
Q73280,Q6581097,male
Q7407,Q6581097,male
Q54691,Q6581097,male
Q957450,Q6581097,male
Q296282,Q6581097,male
Q142656,Q6581097,male
Q1688112,Q6581097,male
Q10993,Q6581097,male
Q7048193,Q6581097,male
Q82925,Q6581097,male
Q368264,Q6581097,male
Q211731,Q6581097,male
Q392,Q6581097,male
Q28028,Q6581097,male
Q171091,Q6581097,male
Q6197,Q6581097,male
Q822610,Q6581097,male
Q937,Q6581097,male
Q882,Q6581097,male
Q313232,Q6581097,male
Q313216,Q6581097,male
Q43247,Q6581072,female
Q232937,Q6581072,female
Q123206,Q6581097,male
Q182870,Q6581097,male
Q9696,Q6581097,male
Q517908,Q6581097,male
Q1398,Q6581097,male
Q39837,Q6581097,male
Q6691,Q6581097,male
Q7198,Q6581097,male
Q188646,Q6581097,male
Q913,Q6581097,male
Q859,Q6581097,male
Q8581,Q6581097,male
Q15497351,Q6581097,male
Q342419,Q6581097,male
Q1272489,Q6581097,male
Q13888,Q6581097,male
Q160528,Q6581097,male
Q106529,Q6581097,male
Q107006,Q6581072,female
Q57231,Q6581097,male
Q174943,Q6581097,male
Q170386,Q6581097,male
Q28975,Q6581097,male
Q41871,Q6581097,male
Q2897748,Q6581097,male
Q230023,Q6581072,female
Q364083,Q6581097,male
Q106001,Q6581097,male
Q207,Q6581097,male
Q1405,Q6581097,male
Q4730637,Q6581097,male
Q5235902,Q6581097,male
Q318267,Q6581097,male
Q773523,Q6581097,male
Q6266817,Q6581097,male
Q55294,Q6581097,male
Q352,Q6581097,male
Q652715,Q6581097,male
Q312702,Q6581097,male
Q3362836,Q6581097,male
Q9077,Q6581097,male
Q172183,Q6581097,male
Q203519,Q6581097,male
Q311311,Q6581097,male
Q55198,Q6581097,male
Q1124,Q6581097,male
Q74032,Q6581097,male
Q170512,Q6581097,male
Q1442,Q6581097,male
Q223687,Q6581097,male
Q313705,Q6581097,male
Q104514,Q6581097,male
Q3038321,Q6581097,male
Q352109,Q6581097,male
Q3454159,Q6581097,male
Q500046,Q6581097,male
Q318734,Q6581097,male
Q61193,Q6581097,male
Q80596,Q6581097,male
Q27619950,Q6581097,male
Q6123506,Q6581097,male
Q212879,Q6581072,female
Q228928,Q6581072,female
Q9545,Q6581097,male
Q18563278,Q6581072,female
Q975488,Q6581097,male
Q51541,Q6581097,male
Q301816,Q6581097,male
Q23,Q6581097,male
Q220845,Q6581072,female
Q308459,Q6581097,male
Q530321,Q6581097,male
Q16005909,Q6581072,female
Q82778,Q6581097,male
Q207140,Q6581097,male
Q83859,Q6581097,male
Q723780,Q6581097,male
Q236702,Q6581072,female
Q486559,Q6581097,male
Q137727,Q6581097,male
Q264596,Q6581072,female
Q7196241,Q6581097,male
Q230736,Q6581072,female
Q1372703,Q6581097,male
Q656655,Q6581097,male
Q2885212,Q6581097,male
Q10731,Q6581097,male
Q187085,Q6581097,male
Q684748,Q6581097,male
Q1146217,Q6581097,male
Q447879,Q6581072,female
Q294185,Q6581097,male
Q129831,Q6581072,female
Q18938,Q6581097,male
Q716552,Q6581097,male
Q126941,Q6581097,male
Q3573163,Q6581097,male
Q418649,Q6581097,male
Q1187760,Q6581097,male
Q49547,Q6581072,female
Q1142856,Q6581097,male
Q1625322,Q6581097,male
Q44200,Q6581097,male
Q1383899,Q6581097,male
Q6374029,Q6581097,male
Q80492,Q6581097,male
Q964414,Q6581097,male
Q508160,Q6581072,female
Q254876,Q6581072,female
Q3147354,Q6581097,male
Q934461,Q6581097,male
Q3129345,Q6581097,male
Q2833080,Q6581097,male
Q312255,Q6581097,male
Q1677212,Q6581097,male
Q7492149,Q6581097,male
Q2701959,Q6581097,male
Q14313,Q6581097,male
Q2130544,Q6581072,female
Q232876,Q6581072,female
Q63586,Q6581072,female
Q2001011,Q6581097,male
Q124446,Q6581097,male
Q1636973,Q6581097,male
Q6050046,Q6581097,male
Q347481,Q6581097,male
Q2824489,Q6581072,female
Q544165,Q6581072,female
Q2526905,Q6581072,female
Q3127739,Q6581072,female
Q2625337,Q6581097,male
Q206856,Q6581072,female
Q62016,Q6581097,male
Q2656347,Q6581097,male
Q214601,Q6581097,male
Q2987625,Q6581072,female
Q254766,Q6581072,female
Q561140,Q6581097,male
Q24632,Q6581097,male
Q234430,Q6581072,female
Q587725,Q6581072,female
Q234539,Q6581072,female
Q2071982,Q6581072,female
Q151113,Q6581072,female
Q380856,Q6581097,male
Q185079,Q6581097,male
Q163286,Q6581097,male
Q254886,Q6581072,female
Q229225,Q6581072,female
Q275502,Q6581072,female
Q1305465,Q6581097,male
Q2506653,Q6581097,male
Q134262,Q6581097,male
Q90697,Q6581097,male
Q107545,Q6581097,male
Q267335,Q6581072,female
Q2571747,Q6581097,male
Q2830523,Q6581097,male
Q1727806,Q6581097,male
Q9588,Q6581097,male
Q3380712,Q6581097,male
Q714909,Q6581097,male
Q458833,Q6581097,male
Q1474823,Q6581097,male
Q927824,Q6581097,male
Q108366,Q6581097,male
Q17385586,Q6581072,female
Q3139387,Q6581072,female
Q42775,Q6581097,male
Q94041,Q6581097,male
Q2062642,Q6581097,male
Q38222,Q6581097,male
Q1383657,Q6581097,male
Q133631,Q6581072,female
Q40067,Q6581072,female
Q2517245,Q6581072,female
Q2831,Q6581097,male
Q409,Q6581097,male
Q36949,Q6581097,male
Q547486,Q6581097,male
Q229760,Q6581072,female
Q313704,Q6581097,male
Q267577,Q6581072,female
Q128799,Q6581097,male
Q43432,Q6581097,male
Q311467,Q6581097,male
Q6097015,Q6581097,male
Q56008,Q6581097,male
Q299225,Q6581097,male
Q162621,Q6581097,male
Q1255794,Q6581097,male
Q102642,Q6581072,female
Q25089,Q6581097,male
Q16116980,Q6581097,male
Q56094,Q6581097,male
Q40069,Q48270,non_binary
Q1382028,Q6581097,male
Q5928,Q6581097,male
Q367691,Q6581097,male
Q370417,Q6581097,male
Q42930,Q6581097,male
Q183532,Q6581072,female
Q232837,Q6581072,female
Q999332,Q6581097,male
Q459230,Q6581097,male
Q1514,Q6581072,female
Q36153,Q6581072,female
Q36844,Q6581072,female
Q5092714,Q6581072,female
Q215120,Q6581097,male
Q328718,Q6581097,male
Q306,Q6581097,male
Q145823,Q6581097,male
Q5346042,Q6581097,male
Q1659177,Q6581097,male
Q5679524,Q6581097,male
Q6957562,Q6581097,male
Q1188632,Q6581097,male
Q1421525,Q6581097,male
Q3497946,Q6581097,male
Q1365312,Q6581097,male
Q7404049,Q6581097,male
Q45189358,Q6581097,male
Q2308310,Q6581097,male
Q331953,Q6581097,male
Q957989,Q6581097,male
Q2427349,Q6581097,male
Q583806,Q6581097,male
Q2213316,Q6581097,male
Q7685767,Q6581097,male
Q4665502,Q6581097,male
Q3167097,Q6581097,male
Q1337736,Q6581097,male
Q7846762,Q6581097,male
Q88242,Q6581072,female
Q2936255,Q6581072,female
Q11781543,Q6581072,female
Q1186577,Q6581072,female
Q4413243,Q6581072,female
Q353520,Q6581097,male
Q3013095,Q6581097,male
Q3358996,Q6581097,male
Q3014401,Q6581097,male
Q1173922,Q6581097,male
Q1403952,Q6581097,male
Q3528697,Q6581097,male
Q3531920,Q6581097,male
Q7051494,Q6581097,male
Q2837676,Q6581097,male
Q3116311,Q6581097,male
Q981948,Q6581097,male
Q1720081,Q6581097,male
Q1168182,Q6581097,male
Q5210548,Q6581097,male
Q3002051,Q6581097,male
Q3016509,Q6581097,male
Q3339789,Q6581097,male
Q3528646,Q6581097,male
Q3368542,Q6581097,male
Q3308056,Q6581097,male
Q3017962,Q6581097,male
Q636885,Q6581097,male
Q2846568,Q6581097,male
Q2337839,Q6581097,male
Q1349193,Q6581097,male
Q2470314,Q6581097,male
Q612279,Q6581097,male
Q7430937,Q6581097,male
Q2752141,Q6581097,male
Q2188375,Q6581097,male
Q3560510,Q6581097,male
Q926512,Q6581097,male
Q359484,Q6581097,male
Q202877,Q6581097,male
Q555240,Q6581097,male
Q1101987,Q6581097,male
Q2743480,Q6581097,male
Q349135,Q6581097,male
Q967484,Q6581097,male
Q5605307,Q6581097,male
Q3017555,Q6581097,male
Q7491013,Q6581097,male
Q983740,Q6581097,male
Q3177366,Q6581097,male
Q472649,Q6581097,male
Q3107289,Q6581097,male
Q26992,Q6581097,male
Q7153163,Q6581097,male
Q3107260,Q6581097,male
Q1392178,Q6581097,male
Q7495466,Q6581097,male
Q7349553,Q6581097,male
Q5040337,Q6581097,male
Q3763931,Q6581097,male
Q6313384,Q6581097,male
Q16214515,Q6581097,male
Q3007862,Q6581097,male
Q7360273,Q6581097,male
Q973256,Q6581097,male
Q2024205,Q6581097,male
Q958235,Q6581097,male
Q979967,Q6581097,male
Q1001420,Q6581097,male
Q463102,Q6581097,male
Q272479,Q6581072,female
Q265153,Q6581072,female
Q275158,Q6581072,female
Q1917844,Q6581072,female
Q448676,Q6581072,female
Q464589,Q6581072,female
Q357936,Q6581097,male
Q314926,Q6581097,male
Q134062,Q6581097,male
Q1052322,Q6581097,male
Q329073,Q6581097,male
Q139890,Q6581097,male
Q43203,Q6581097,male
Q18350026,Q6581097,male
Q456910,Q6581072,female
Q512103,Q6581097,male
Q2444076,Q6581097,male
Q131405,Q6581097,male
Q299565,Q6581097,male
Q706526,Q6581097,male
Q185122,Q6581072,female
Q263906,Q6581072,female
Q2249390,Q6581072,female
Q240250,Q6581072,female
Q304828,Q6581097,male
Q1365755,Q6581097,male
Q4409586,Q6581072,female
Q297618,Q6581097,male
Q1972672,Q6581097,male
Q709449,Q6581097,male
Q7407730,Q6581097,male
Q934087,Q6581097,male
Q325427,Q6581097,male
Q234117,Q6581072,female
Q241701,Q6581072,female
Q946859,Q6581097,male
Q4935658,Q6581097,male
Q313040,Q6581097,male
Q6220032,Q6581097,male
Q1990672,Q6581072,female
Q374447,Q6581097,male
Q941961,Q6581097,male
Q212518,Q6581097,male
Q2263741,Q6581072,female
Q189554,Q6581072,female
Q342665,Q6581097,male
Q429828,Q6581072,female
Q215849,Q6581072,female
Q726105,Q6581097,male
Q888391,Q6581097,male
Q5648002,Q6581097,male
Q37340,Q6581097,male
Q6519669,Q6581097,male
Q37783606,Q6581072,female
Q65448,Q6581097,male
Q1607291,Q6581097,male
Q2960422,Q6581097,male
Q3109112,Q6581097,male
Q229394,Q6581072,female
Q51298,Q6581072,female
