person,wd_id,P17,CountryIsoCode,WikidataLabel,hdi,FormerColony,Continent
Q6827914,Q661405,Q754,TTO,Trinidad and Tobago,0.796,1,LatinAmericaAndCaribbean
Q3520174,Q1352,Q668,IND,India,0.645,1,Asia
Q6836032,Q1007088,Q145,GBR,United Kingdom,0.932,0,Europe
Q6766945,Q2213391,Q145,GBR,United Kingdom,0.932,0,Europe
Q3537597,Q5112,Q408,AUS,Australia,0.944,0,Oceania
Q5605307,Q5112,Q408,AUS,Australia,0.944,0,Oceania
Q6584108,Q935686,Q145,GBR,United Kingdom,0.932,0,Europe
Q483583,Q1425428,Q145,GBR,United Kingdom,0.932,0,Europe
Q299391,Q1339305,Q145,GBR,United Kingdom,0.932,0,Europe
Q234576,Q4576305,Q145,GBR,United Kingdom,0.932,0,Europe
Q311709,Q83609,Q145,GBR,United Kingdom,0.932,0,Europe
Q174595,Q1113311,Q843,PAK,Pakistan,0.557,1,Asia
Q3610466,Q34932,Q408,AUS,Australia,0.944,0,Oceania
Q336331,Q34932,Q408,AUS,Australia,0.944,0,Oceania
Q942937,Q34932,Q408,AUS,Australia,0.944,0,Oceania
Q3013095,Q34932,Q408,AUS,Australia,0.944,0,Oceania
Q3014401,Q34932,Q408,AUS,Australia,0.944,0,Oceania
Q3017962,Q34932,Q408,AUS,Australia,0.944,0,Oceania
Q349135,Q34932,Q408,AUS,Australia,0.944,0,Oceania
Q719333,Q1017537,Q145,GBR,United Kingdom,0.932,0,Europe
Q259026,Q456,Q142,FRA,France,0.901,0,Europe
Q221737,Q34217,Q145,GBR,United Kingdom,0.932,0,Europe
Q463811,Q38022,Q30,USA,United States of America,0.926,0,NorthAmerica
Q83859,Q38022,Q30,USA,United States of America,0.926,0,NorthAmerica
Q2625337,Q38022,Q30,USA,United States of America,0.926,0,NorthAmerica
Q2517245,Q38022,Q30,USA,United States of America,0.926,0,NorthAmerica
Q310949,Q3141,Q408,AUS,Australia,0.944,0,Oceania
Q559917,Q898468,Q213,CZE,Czech Republic,0.9,0,Europe
Q560175,Q7903,Q1028,MAR,Morocco,0.686,1,Africa
Q11677,Q375070,Q30,USA,United States of America,0.926,0,NorthAmerica
Q233339,Q1993670,Q258,ZAF,South Africa,0.709,1,Africa
Q1640440,Q2807,Q29,ESP,Spain,0.904,0,Europe
Q2885212,Q2807,Q29,ESP,Spain,0.904,0,Europe
Q255657,Q2807,Q29,ESP,Spain,0.904,0,Europe
Q3241386,Q997132,Q30,USA,United States of America,0.926,0,NorthAmerica
Q62208,Q2805,Q183,DEU,Germany,0.947,0,Europe
Q105868,Q1486,Q414,ARG,Argentina,0.845,1,LatinAmericaAndCaribbean
Q1146217,Q1486,Q414,ARG,Argentina,0.845,1,LatinAmericaAndCaribbean
Q9446,Q61,Q30,USA,United States of America,0.926,0,NorthAmerica
Q1972672,Q61,Q30,USA,United States of America,0.926,0,NorthAmerica
Q189554,Q61,Q30,USA,United States of America,0.926,0,NorthAmerica
Q552674,Q3130,Q408,AUS,Australia,0.944,0,Oceania
Q308459,Q3130,Q408,AUS,Australia,0.944,0,Oceania
Q229225,Q3130,Q408,AUS,Australia,0.944,0,Oceania
Q275502,Q3130,Q408,AUS,Australia,0.944,0,Oceania
Q3358996,Q3130,Q408,AUS,Australia,0.944,0,Oceania
Q3528646,Q3130,Q408,AUS,Australia,0.944,0,Oceania
Q3368542,Q3130,Q408,AUS,Australia,0.944,0,Oceania
Q636885,Q3130,Q408,AUS,Australia,0.944,0,Oceania
Q2846568,Q3130,Q408,AUS,Australia,0.944,0,Oceania
Q3107260,Q3130,Q408,AUS,Australia,0.944,0,Oceania
Q10129,Q1010236,Q30,USA,United States of America,0.926,0,NorthAmerica
Q297948,Q65,Q30,USA,United States of America,0.926,0,NorthAmerica
Q313705,Q65,Q30,USA,United States of America,0.926,0,NorthAmerica
Q1677212,Q65,Q30,USA,United States of America,0.926,0,NorthAmerica
Q1383657,Q65,Q30,USA,United States of America,0.926,0,NorthAmerica
Q133631,Q65,Q30,USA,United States of America,0.926,0,NorthAmerica
Q102642,Q65,Q30,USA,United States of America,0.926,0,NorthAmerica
Q370417,Q65,Q30,USA,United States of America,0.926,0,NorthAmerica
Q42930,Q65,Q30,USA,United States of America,0.926,0,NorthAmerica
Q229394,Q65,Q30,USA,United States of America,0.926,0,NorthAmerica
Q1277018,Q65,Q30,USA,United States of America,0.926,0,NorthAmerica
Q34460,Q65,Q30,USA,United States of America,0.926,0,NorthAmerica
Q277802,Q25413,Q34,SWE,Sweden,0.945,0,Europe
Q312717,Q1085,Q213,CZE,Czech Republic,0.9,0,Europe
Q718178,Q470369,Q213,CZE,Czech Republic,0.9,0,Europe
Q173633,Q55630,Q403,SRB,Serbia,0.806,0,Europe
Q264088,Q3915,Q1019,MDG,Madagascar,0.528,1,Africa
Q54536,Q939529,Q30,USA,United States of America,0.926,0,NorthAmerica
Q201593,Q52981,Q38,ITA,Italy,0.892,0,Europe
Q189542,Q54764,Q34,SWE,Sweden,0.945,0,Europe
Q73280,Q1726,Q183,DEU,Germany,0.947,0,Europe
Q7407,Q23768,Q30,USA,United States of America,0.926,0,NorthAmerica
Q54691,Q1006668,Q30,USA,United States of America,0.926,0,NorthAmerica
Q957450,Q568610,Q30,USA,United States of America,0.926,0,NorthAmerica
Q296282,Q1348,Q668,IND,India,0.645,1,Asia
Q142656,Q159288,Q30,USA,United States of America,0.926,0,NorthAmerica
Q1688112,Q10433723,Q34,SWE,Sweden,0.945,0,Europe
Q10993,Q685224,Q30,USA,United States of America,0.926,0,NorthAmerica
Q7048193,Q810998,Q30,USA,United States of America,0.926,0,NorthAmerica
Q82925,Q4455727,Q212,UKR,Ukraine,0.779,0,Europe
Q211731,Q49158,Q30,USA,United States of America,0.926,0,NorthAmerica
Q392,Q485708,Q30,USA,United States of America,0.926,0,NorthAmerica
Q28028,Q1489,Q96,MEX,Mexico,0.779,1,LatinAmericaAndCaribbean
Q171091,Q1297,Q30,USA,United States of America,0.926,0,NorthAmerica
Q212879,Q1297,Q30,USA,United States of America,0.926,0,NorthAmerica
Q347481,Q1297,Q30,USA,United States of America,0.926,0,NorthAmerica
Q299225,Q1297,Q30,USA,United States of America,0.926,0,NorthAmerica
Q1990672,Q1297,Q30,USA,United States of America,0.926,0,NorthAmerica
Q230465,Q1297,Q30,USA,United States of America,0.926,0,NorthAmerica
Q83338,Q1297,Q30,USA,United States of America,0.926,0,NorthAmerica
Q8704,Q1297,Q30,USA,United States of America,0.926,0,NorthAmerica
Q6197,Q52691,Q38,ITA,Italy,0.892,0,Europe
Q822610,Q19186,Q145,GBR,United Kingdom,0.932,0,Europe
Q937,Q3012,Q183,DEU,Germany,0.947,0,Europe
Q882,Q1231883,Q145,GBR,United Kingdom,0.932,0,Europe
Q313216,Q1218,Q801,ISR,Israel,0.919,1,Asia
Q701793,Q1218,Q801,ISR,Israel,0.919,1,Asia
Q43247,Q10519255,Q34,SWE,Sweden,0.945,0,Europe
Q232937,Q272347,Q142,FRA,France,0.901,0,Europe
Q123206,Q72,Q39,CHE,Switzerland,0.955,0,Europe
Q182870,Q60,Q30,USA,United States of America,0.926,0,NorthAmerica
Q160528,Q60,Q30,USA,United States of America,0.926,0,NorthAmerica
Q80596,Q60,Q30,USA,United States of America,0.926,0,NorthAmerica
Q44200,Q60,Q30,USA,United States of America,0.926,0,NorthAmerica
Q999332,Q60,Q30,USA,United States of America,0.926,0,NorthAmerica
Q4409586,Q60,Q30,USA,United States of America,0.926,0,NorthAmerica
Q297618,Q60,Q30,USA,United States of America,0.926,0,NorthAmerica
Q7407730,Q60,Q30,USA,United States of America,0.926,0,NorthAmerica
Q934087,Q60,Q30,USA,United States of America,0.926,0,NorthAmerica
Q946859,Q60,Q30,USA,United States of America,0.926,0,NorthAmerica
Q941961,Q60,Q30,USA,United States of America,0.926,0,NorthAmerica
Q56014,Q60,Q30,USA,United States of America,0.926,0,NorthAmerica
Q193635,Q60,Q30,USA,United States of America,0.926,0,NorthAmerica
Q288359,Q60,Q30,USA,United States of America,0.926,0,NorthAmerica
Q188137,Q60,Q30,USA,United States of America,0.926,0,NorthAmerica
Q293323,Q60,Q30,USA,United States of America,0.926,0,NorthAmerica
Q5257661,Q60,Q30,USA,United States of America,0.926,0,NorthAmerica
Q42745,Q60,Q30,USA,United States of America,0.926,0,NorthAmerica
Q9696,Q49142,Q30,USA,United States of America,0.926,0,NorthAmerica
Q517908,Q1741,Q40,AUT,Austria,0.922,0,Europe
Q1403472,Q1741,Q40,AUT,Austria,0.922,0,Europe
Q1398,Q15710617,Q38,ITA,Italy,0.892,0,Europe
Q39837,Q5818,Q29,ESP,Spain,0.904,0,Europe
Q6691,Q160483,Q41,GRC,Greece,0.888,0,Europe
Q859,Q1524,Q41,GRC,Greece,0.888,0,Europe
Q8581,Q165444,Q796,IRQ,Iraq,0.674,1,Asia
Q342419,Q277162,Q145,GBR,United Kingdom,0.932,0,Europe
Q1272489,Q39121,Q145,GBR,United Kingdom,0.932,0,Europe
Q13888,Q490,Q38,ITA,Italy,0.892,0,Europe
Q106529,Q370498,Q142,FRA,France,0.901,0,Europe
Q107006,Q3572,Q948,TUN,Tunisia,0.74,1,Africa
Q57231,Q2107,Q183,DEU,Germany,0.947,0,Europe
Q174943,Q405166,Q219,BGR,Bulgaria,0.816,0,Europe
Q170386,Q220,Q38,ITA,Italy,0.892,0,Europe
Q1405,Q220,Q38,ITA,Italy,0.892,0,Europe
Q28975,Q29303,Q145,GBR,United Kingdom,0.932,0,Europe
Q41871,Q1065497,Q30,USA,United States of America,0.926,0,NorthAmerica
Q5235902,Q1065497,Q30,USA,United States of America,0.926,0,NorthAmerica
Q230023,Q172455,Q142,FRA,France,0.901,0,Europe
